           Time[sec]              Command             PortNo.0             PortNo.1             PortNo.2             PortNo.3 
        1.2600001000         4.9950667224         1.3915897233         1.3867802168         1.3991287878         4.9458968942 
        1.2650000000         4.9889049115         1.3890426230         1.3944191484         1.3991287878         4.9968733254 
        1.2700001000         4.9802865564         1.4043252250         1.3995117694         1.3965824825         1.1073716302 
        1.2750000000         4.9692208515         1.3890426230         1.3867802168         1.3991287878         0.0088295393 
        1.2800001000         4.9557178325         1.3890426230         1.3893265273         1.3991287878         0.0241224687 
        1.2850000000         4.9397919048         1.3941368236         1.3944191484         1.3940361771         0.1133312231 
        1.2900000000         4.9214579028         1.4017781247         1.3995117694         1.3991287878         0.2152840854 
        1.2950000000         4.9007342142         1.4017781247         1.3995117694         1.3965824825         0.3146881261 
        1.3000000000         4.8776412907         1.3941368236         1.3944191484         1.3991287878         0.4064457021 
        1.3050000000         4.8522019224         1.3966839240         1.3944191484         1.3914898717         0.4982032782 
        1.3100000000         4.8244412147         1.3941368236         1.3918728378         1.3991287878         0.6027049620 
        1.3150000000         4.7943865642         1.3941368236         1.3944191484         1.3940361771         0.6893648949 
        1.3200000000         4.7620676312         1.3941368236         1.3944191484         1.3914898717         0.7836712925 
        1.3250000000         4.7275163105         1.3890426230         1.3842339063         1.3991287878         0.8856241547 
        1.3300000000         4.6907667001         1.3992310243         1.3995117694         1.4042213986         0.9722840877 
        1.3350000000         4.6518550675         1.4043252250         1.3995117694         1.3914898717         1.0563951990 
        1.3400000000         4.6108198138         1.3941368236         1.3918728378         1.3914898717         1.1532504182 
        1.3450000000         4.5677014357         1.3992310243         1.4020580799         1.3965824825         1.2450079942 
        1.3500000000         4.5225424859         1.3941368236         1.3995117694         1.4042213986         1.3495096780 
        1.3550000000         4.4753875309         1.3941368236         1.3944191484         1.4042213986         1.4387184325 
        1.3600000000         4.4262831069         1.3890426230         1.3867802168         1.3991287878         1.5202807223 
        1.3650000000         4.3752776741         1.3992310243         1.3969654589         1.3991287878         1.6120382983 
        1.3700000000         4.3224215686         1.4043252250         1.3944191484         1.3914898717         1.6885029450 
        1.3750000000         4.2677669530         1.3915897233         1.3893265273         1.3940361771         1.7777116995 
        1.3800000000         4.2113677648         1.3941368236         1.3944191484         1.4067677040         1.8796645618 
        1.3850001000         4.1532784850         1.3915897233         1.3893265273         1.3965824825         1.9586780300 
        1.3900000000         4.0935599744         1.3839484223         1.3893265273         1.3991287878         2.0427891414 
        1.3950001000         4.0322663930         1.4119665260         1.3995117694         1.3965824825         2.1345467174 
        1.4000000000         3.9694631307         1.3941368236         1.3944191484         1.3965824825         2.2059137210 
        1.4050001000         3.9052071455         1.3992310243         1.3995117694         1.4016750932         2.2976712970 
        1.4100000000         3.8395669874         1.3966839240         1.3944191484         1.4118603148         2.3894288731 
        1.4150000000         3.7726035394         1.3966839240         1.3893265273         1.3914898717         2.4582470551 
        1.4200000000         3.7043841853         1.3941368236         1.3969654589         1.4042213986         2.5449069880 
        1.4250000000         3.6349762493         1.3890426230         1.3867802168         1.3965824825         2.6264692778 
        1.4300000000         3.5644482289         1.3915897233         1.3969654589         1.3914898717         2.6978362814 
        1.4350000000         3.4928697266         1.4017781247         1.3918728378         1.3914898717         2.7768497497 
        1.4400000000         3.4203113817         1.3966839240         1.3944191484         1.3889435663         2.8558632179 
        1.4450000000         3.3468448006         1.3966839240         1.3944191484         1.3965824825         2.9399743293 
        1.4500000000         3.2725424859         1.3966839240         1.3918728378         1.4093140094         3.0215366191 
        1.4550000000         3.1974777651         1.3890426230         1.3918728378         1.3991287878         3.0954524442 
        1.4600000000         3.1217247179         1.3966839240         1.3944191484         1.3914898717         3.1642706262 
        1.4650000000         3.0453581035         1.3890426230         1.3893265273         1.4016750932         3.2534793807 
        1.4700000000         2.9684532865         1.4043252250         1.3969654589         1.3991287878         3.3146510981 
        1.4750000000         2.8910861626         1.3966839240         1.3944191484         1.4016750932         3.3885669232 
        1.4800000000         2.8133330839         1.3966839240         1.3995117694         1.4067677040         3.4701292130 
        1.4850000000         2.7352707833         1.3966839240         1.3918728378         1.3965824825         3.5313009304 
        1.4900000000         2.6569762988         1.4017781247         1.3995117694         1.3991287878         3.6026679340 
        1.4950000000         2.5785268977         1.3890426230         1.3867802168         1.3965824825         3.6689372944 
        1.5000000000         2.5000000000         1.3966839240         1.3918728378         1.4042213986         3.7377554764 
        1.5050000000         2.4214731023         1.3635716195         1.3893265273         1.3991287878         3.7963783722 
        1.5100001000         2.3430221335         1.3915897233         1.3867802168         1.3991287878         3.8575500896 
        1.5150000000         2.2647292167         1.4043252250         1.3944191484         1.3991287878         3.9085265207 
        1.5200001000         2.1866653577         1.4017781247         1.3944191484         1.3965824825         3.9544053088 
        1.5250000000         2.1089138374         1.4094194257         1.4020580799         1.3965824825         3.9900888105 
        1.5300001000         2.0315451706         1.3839484223         1.3893265273         1.4042213986         4.0130282045 
        1.5350000000         1.9546418965         1.3992310243         1.3969654589         1.3940361771         4.0334187770 
        1.5400001000         1.8782737606         1.4068723253         1.3969654589         1.4016750932         4.0410652417 
        1.5450000000         1.8025222349         1.3839484223         1.3995117694         1.3940361771         4.0385164201 
        1.5500000000         1.7274575141         1.4043252250         1.3893265273         1.4067677040         4.0461628848 
        1.5550000000         1.6531551994         1.4043252250         1.3893265273         1.3889435663         4.0538093495 
