           Time[sec]             ao1_Vcmd            ai2_Vgyro           ai3_Vpoten                Wgyro 
        3.7350000000         1.5000000000         0.6931125823         2.8049670537       -13.5714246215 
        3.7400000000         1.5000000000         0.6931125823         2.7539948884       -13.5714246215 
        3.7450000000         1.5000000000         0.6931125823         2.7030227230       -13.5714246215 
        3.7500000000         1.5000000000         0.6854657278         2.6393075164       -13.7706228121 
        3.7550000000         1.5000000000         0.6956615338         2.5959811758       -13.5050252246 
        3.7600000000         1.5000000000         0.7007594367         2.5475576187       -13.3722264308 
        3.7650001000         1.5000000000         0.6956615338         2.4889396286       -13.5050252246 
        3.7700000000         1.5000000000         0.6931125823         2.4379674632       -13.5714246215 
        3.7750000000         1.5000000000         0.6931125823         2.3869952979       -13.5714246215 
        3.7800000000         1.5000000000         0.6956615338         2.3334745243       -13.5050252246 
        3.7850001000         1.5000000000         0.6931125823         2.2748565341       -13.5714246215 
        3.7900000000         1.5000000000         0.6956615338         2.2315301936       -13.5050252246 
        3.7950000000         1.5000000000         0.6982104853         2.1805580282       -13.4386258277 
