           Time[sec]  \omega_{cmd}[rad/s]          V_{gyro}[V] \omega_{gyro}[rad/s]          \theta[rad] 
        1.1900000000         3.3200000000         1.6438714865        11.2403554996         1.9013011385 
        1.1950000000         3.3200000000         1.6387735836        11.1075567059         1.9653546505 
        1.2000000000         3.3200000000         1.6566162440        11.5723524840         2.0198001358 
        1.2050000000         3.3200000000         1.6285777776        10.8419591184         2.0742456211 
        1.2100000000         3.3200000000         1.6387735836        11.1075567059         2.1318937819 
        1.2150000000         3.3200000000         1.6489693895        11.3731542934         2.1863392672 
        1.2200000000         3.3200000000         1.6311267291        10.9083585153         2.2439874281 
        1.2250000000         3.3200000000         1.6311267291        10.9083585153         2.3080409401 
        1.2300000000         3.3200000000         1.5775987479         9.5139711810         2.3528783986 
        1.2350000000         3.3200000000         1.6464204380        11.3067548965         2.4105265595 
        1.2400000000         3.3200000000         1.5419134271         8.5843796249         2.4553640179 
        1.2450000000         3.3200000000         1.6438714865        11.2403554996         2.5130121788 
        1.2500000000         3.3200000000         1.6158330202        10.5099621341         2.5770656909 
        1.2550000000         3.3200000000         1.6362246321        11.0411573090         2.6347138517 
        1.2600001000         3.3200000000         1.6515183410        11.4395536902         2.6859566614 
        1.2650000000         3.3200000000         1.6107351172        10.3771633403         2.7371994711 
        1.2700001000         3.3200000000         1.6591651954        11.6387518809         2.8108610099 
        1.2750000000         3.3200000000         1.6285777776        10.8419591184         2.8524957928 
        1.2800001000         3.3200000000         1.6362246321        11.0411573090         2.9133466293 
        1.2850000000         3.3200000000         1.6209309231        10.6427609278         2.9645894389 
        1.2900000000         3.3200000000         1.6362246321        11.0411573090         3.0190349242 
        1.2950000000         3.3200000000         1.6183819717        10.5763615309         3.0734804095 
        1.3000000000         3.3200000000         1.6209309231        10.6427609278         3.1375339215 
        1.3050000000         3.3200000000         1.6387735836        11.1075567059         3.1503446239 
        1.3100000000         3.3200000000         1.6464204380        11.3067548965         3.1407365971 
        1.3150032000         3.3200000000         1.5979903598        10.0451663560        -1.7337356719 
        1.3200000000         3.3200000000         1.6438714865        11.2403554996        -1.7593570767 
        1.3250000000         3.3200000000         1.6285777776        10.8419591184        -3.1397102620 
        1.3300000000         3.3200000000         1.6438714865        11.2403554996        -3.1461156132 
        1.3350000000         3.3200000000         1.6260288261        10.7755597215        -3.1365075864 
        1.3400000000         3.3200000000         1.6489693895        11.3731542934        -3.0724540743 
        1.3450000000         3.3200000000         1.6387735836        11.1075567059        -3.0212112646 
        1.3500000000         3.3200000000         1.6387735836        11.1075567059        -2.9667657794 
        1.3550000000         3.3200000000         1.6515183410        11.4395536902        -2.8963069161 
        1.3600000000         3.3200000000         1.6489693895        11.3731542934        -2.8354560796 
        1.3650000000         3.3200000000         1.6311267291        10.9083585153        -2.7906186211 
        1.3700000000         3.3200000000         1.6489693895        11.3731542934        -2.7425784871 
        1.3750000000         3.3200000000         1.6387735836        11.1075567059        -2.6753222994 
        1.3800000000         3.3200000000         1.6438714865        11.2403554996        -2.6304848410 
        1.3850001000         3.3200000000         1.6362246321        11.0411573090        -2.5728366801 
        1.3900000000         3.3200000000         1.6591651954        11.6387518809        -2.5119858436 
        1.3950001000         3.3200000000         1.6413225350        11.1739561028        -2.4543376827 
        1.4000000000         3.3200000000         1.6515183410        11.4395536902        -2.3902841707 
        1.4050001000         3.3200000000         1.6617141469        11.7051512777        -2.3326360098 
        1.4100000000         3.3200000000         1.6387735836        11.1075567059        -2.2845958757 
