           Time[sec]           V_{cmd}[V]          V_{gyro}[V] \omega_{gyro}[rad/s]          \theta[rad] 
        1.2750000000        -0.6774579702         0.7925216902       -10.9605484412         1.4048864199 
        1.2800001000        -0.6738973711         0.7517384665       -12.0229387911         1.3376302322 
        1.2850000000        -0.6700812593         0.7797769328       -11.2925454256         1.2927927737 
        1.2900001000        -0.6660107773         0.7670321754       -11.6245424099         1.2447526397 
        1.2950001000        -0.6616877059         0.8001685447       -10.7613502506         1.1871044788 
        1.3000000000        -0.6571137004         0.7619342724       -11.7573412037         1.1326589935 
        1.3050000000        -0.6522903129         0.7848748358       -11.1597466318         1.0686054815 
        1.3100000000        -0.6472194624         0.7593853209       -11.8237406005         1.0077546450 
        1.3150000000        -0.6419030727         0.7721300783       -11.4917436162         0.9437011329 
        1.3200000000        -0.6363431606         0.7466405635       -12.1557375849         0.8892556476 
        1.3250001000        -0.6305417170         0.7848748358       -11.1597466318         0.8316074868 
        1.3300000000        -0.6245012981         0.7517384665       -12.0229387911         0.7707566503 
        1.3350000000        -0.6182238402         0.7670321754       -11.6245424099         0.7227165162 
        1.3400000000        -0.6117118432         0.7721300783       -11.4917436162         0.6746763822 
        1.3450000000        -0.6049677777         0.7619342724       -11.7573412037         0.6106228701 
        1.3500000000        -0.5979942022         0.7644832239       -11.6909418068         0.5561773849 
        1.3550001000        -0.5907936160         0.7925216902       -10.9605484412         0.5081372508 
        1.3600000000        -0.5833691896         0.7491895150       -12.0893381880         0.4440837387 
        1.3650000000        -0.5757233009         0.7976195932       -10.8277496475         0.3992462803 
        1.3700000000        -0.5678589969         0.7517384665       -12.0229387911         0.3319900926 
        1.3750000000        -0.5597792609         0.7925216902       -10.9605484412         0.2839499585 
        1.3800000000        -0.5514871584         0.7619342724       -11.7573412037         0.2230991221 
        1.3850001000        -0.5429856631         0.8027174962       -10.6949508538         0.1750589880 
        1.3900001000        -0.5342783401         0.7670321754       -11.6245424099         0.1046001247 
        1.3950001000        -0.5253683250         0.7899727387       -11.0269478381         0.0597626663 
        1.4000000000        -0.5162591822         0.7874237873       -11.0933472350         0.0181278834 
        1.4050001000        -0.5069538149         0.8001685447       -10.7613502506        -0.0395202775 
        1.4100000000        -0.4974564977         0.7695811269       -11.5581430131        -0.1003711139 
        1.4150001000        -0.4877700741         0.7976195932       -10.8277496475        -0.1580192748 
        1.4200001000        -0.4778987943         0.7925216902       -10.9605484412        -0.2028567333 
        1.4250000000        -0.4678464141         0.7797769328       -11.2925454256        -0.2540995429 
        1.4300000000        -0.4576163452         0.7976195932       -10.8277496475        -0.3245584062 
        1.4350000000        -0.4472126678         0.7925216902       -10.9605484412        -0.3790038915 
        1.4400043000        -0.4366301639         0.7619342724       -11.7573412037        -0.4206386743 
        1.4450000000        -0.4259003396         0.8052664477       -10.6285514569        -0.4654761328 
        1.4500001000        -0.4149995545         0.7899727387       -11.0269478381        -0.5327323204 
        1.4550000000        -0.4039417679         0.7950706417       -10.8941490444        -0.5839751301 
        1.4600000000        -0.3927305160         0.8001685447       -10.7613502506        -0.6384206154 
        1.4650000000        -0.3813702717         0.7797769328       -11.2925454256        -0.6896634250 
        1.4700000000        -0.3698653448         0.8205601566       -10.2301550757        -0.7216901811 
        1.4750000000        -0.3582201001         0.8078153991       -10.5621520600        -0.7793383419 
        1.4800001000        -0.3464387185         0.8205601566       -10.2301550757        -0.8273784760 
        1.4850000000        -0.3345263802         0.8129133021       -10.4293532663        -0.8882293125 
        1.4900000000        -0.3224868938         0.8078153991       -10.5621520600        -0.9362694465 
        1.4950000000        -0.3103250638         0.8256580595       -10.0973562819        -0.9747015538 
        1.5000000000        -0.2980455041         0.8282070110       -10.0309568851        -1.0259443634 
        1.5050000000        -0.2856528732         0.8333049140        -9.8981580913        -1.0643764707 
        1.5100001000        -0.2731516214         0.8256580595       -10.0973562819        -1.1220246316 
        1.5150001000        -0.2605469916         0.8460496714        -9.5661611070        -1.1700647656 
        1.5200001000        -0.2478435166         0.8358538655        -9.8317586944        -1.2245102509 
        1.5250000000        -0.2350462726         0.8358538655        -9.8317586944        -1.2693477093 
        1.5300001000        -0.2221593442         0.8613433804        -9.1677647258        -1.3013744654 
        1.5350000000        -0.2091886511         0.8638923318        -9.1013653289        -1.3494145994 
        1.5400001000        -0.1961380765         0.8409517685        -9.6989599007        -1.4070627603 
        1.5450001000        -0.1830133522         0.8817349922        -8.6365695508        -1.4390895163 
        1.5500000000        -0.1698194616         0.8562454774        -9.3005635195        -1.4903323260 
        1.5550000000        -0.1565608824         0.8791860408        -8.7029689477        -1.5351697844 
        1.5600000000        -0.1432429079         0.8587944289        -9.2341641226        -1.5896152697 
        1.5650000000        -0.1298705905         0.8868328952        -8.5037707571        -1.6184393501 
        1.5700000000        -0.1164490033         0.8766370893        -8.7693683445        -1.6664794842 
        1.5750001000        -0.1029829686         0.8817349922        -8.6365695508        -1.7081142671 
