           Time[sec]  \omega_{cmd}[rad/s]          V_{gyro}[V] \omega_{gyro}[rad/s]          \theta[rad] 
        1.3950000000         2.5000000000         1.2181965884        31.7336438862         1.5746282269 
        1.4000000000         2.5000000000         1.2130986854        31.6008450925         1.5650202001 
        1.4050000000         2.5000000000         1.2080007824        31.4680462987         1.5586148488 
        1.4100000000         2.5000000000         1.2207455399        31.8000432831         1.5746282269 
        1.4150000000         2.5000000000         1.2054518309        31.4016469019         1.5554121732 
        1.4200000000         2.5000000000         1.2054518309        31.4016469019         1.5554121732 
        1.4250000000         2.5000000000         1.2130986854        31.6008450925         1.5618175245 
        1.4300000000         2.5000000000         1.2130986854        31.6008450925         1.5618175245 
        1.4350000000         2.5000000000         1.2130986854        31.6008450925         1.5618175245 
        1.4400000000         2.5000000000         1.2156476369        31.6672444893         1.5618175245 
        1.4450000000         2.5000000000         1.2080007824        31.4680462987         1.5618175245 
        1.4500000000         2.5000000000         1.2130986854        31.6008450925         1.5618175245 
        1.4550011000         2.5000000000         1.2105497339        31.5344456956         1.5650202001 
        1.4600000000         2.5000000000         1.2130986854        31.6008450925         1.5650202001 
        1.4650000000         2.5000000000         1.2130986854        31.6008450925         1.5554121732 
        1.4700000000         2.5000000000         1.2105497339        31.5344456956         1.5618175245 
        1.4750000000         2.5000000000         1.2130986854        31.6008450925         1.5650202001 
        1.4800000000         2.5000000000         1.2003539280        31.2688481081         1.5522094976 
        1.4850000000         2.5000000000         1.2054518309        31.4016469019         1.5586148488 
        1.4900000000         2.5000000000         1.2105497339        31.5344456956         1.5650202001 
        1.4950000000         2.5000000000         1.2156476369        31.6672444893         1.5618175245 
        1.5000000000         2.5000000000         1.2130986854        31.6008450925         1.5618175245 
        1.5050000000         2.5000000000         1.2130986854        31.6008450925         1.5586148488 
        1.5100000000         2.5000000000         1.2156476369        31.6672444893         1.5714255513 
        1.5150000000         2.5000000000         1.2130986854        31.6008450925         1.5618175245 
        1.5200000000         2.5000000000         1.2181965884        31.7336438862         1.5714255513 
        1.5250000000         2.5000000000         1.2080007824        31.4680462987         1.5586148488 
        1.5300022000         2.5000000000         1.2130986854        31.6008450925         1.5650202001 
        1.5350000000         2.5000000000         1.2054518309        31.4016469019         1.5554121732 
        1.5400000000         2.5000000000         1.2130986854        31.6008450925         1.5554121732 
        1.5450000000         2.5000000000         1.2054518309        31.4016469019         1.5618175245 
