           Time[sec]  \omega_{cmd}[rad/s]          V_{gyro}[V] \omega_{gyro}[rad/s]          \theta[rad] 
        1.5500000000         5.2904949226         1.2181965884         0.1393059346         1.2831847469 
        1.5550000000         5.8831028862         1.2156476369         0.0729065378         1.2735767201 
        1.5600000000         6.4125358790         1.2130986854         0.0065071409         1.2767793957 
        1.5650000000         6.8731086502         1.3099588419         2.5296842219         1.2831847469 
        1.5700000000         7.2598753963         1.3176056963         2.7288824125         1.3024008005 
        1.5750000000         7.5686828706         1.2895672300         1.9984890470         1.3152115030 
        1.5800000000         7.7962149823         1.3150567448         2.6624830157         1.3152115030 
        1.5850000000         7.9400284060         1.3303504538         3.0608793969         1.3312248810 
        1.5900000000         7.9985788190         1.3328994052         3.1272787938         1.3472382590 
        1.5950000000         7.9712374852         1.3252525508         2.9280806031         1.3632516370 
        1.6000000000         7.8582980058         1.3456441627         3.4592757781         1.3696569882 
        1.6050000000         7.6609731677         1.3227035993         2.8616812063         1.3888730418 
        1.6100000000         7.3813819190         1.3711336775         4.1232697468         1.4144944467 
        1.6150000000         7.0225266157         1.3227035993         2.8616812063         1.4305078247 
        1.6200000000         6.5882607810         1.3456441627         3.4592757781         1.4497238783 
        1.6250000000         6.0832477248         1.3278015023         2.9944800000         1.4561292295 
        1.6300000000         5.5129104671         1.3583889201         3.7912727624         1.4785479588 
        1.6350001000         4.8833603650         1.3252525508         2.9280806031         1.4945613368 
        1.6400000000         4.2013970397         1.3379973082         3.2600775875         1.5041693636 
        1.6450001000         3.4742894524         1.3252525508         2.9280806031         1.5265880928 
        1.6500000000         2.7099033620         1.3150567448         2.6624830157         1.5361961196 
        1.6550001000         1.9163862634         1.2972140844         2.1976872376         1.5490068220 
        1.6600000000         1.1023223255         1.3048609389         2.3968854282         1.5650202001 
        1.6650001000         0.2763885530         1.2946651330         2.1312878407         1.5778309025 
        1.6700000000        -0.5524802057         1.2819203755         1.7992908564         1.5842362537 
        1.6750000000        -1.3754328022         1.2564308607         1.1352968877         1.5874389293 
